p_name , price,Rating 
Blaupunkt 80cm (32 inch) HD Ready LED Smart TVRs10,999,4.363
Blaupunkt 100cm (40 inch) Full HD LED Smart TVRs16,999,4.417
Mi LED Smart TV 4A PRO 80 cm (32)  with AndroidRs12,499,4.41,00,318
Mi LED Smart TV 4A Pro 108 cm (43)  with AndroidRs21,999,4.462,337
Vu Ultra Smart 100cm (40 inch) Full HD LED Smart TVRs17,999,4.414,761
Vu Pixelight 108cm (43 inch) Ultra HD (4K) LED Smart TV  with Cricket ModeRs23,999,4.44,489
Samsung 7-in-1 80cm (32 inch) HD Ready LED Smart TVRs17,999,4.3648
Vu Ultra Smart 80cm (32 inch) HD Ready LED Smart TVRs11,999,4.414,761
Micromax 81cm (32 inch) HD Ready LED TV  with IPS PanelRs9,499,4.24,461
Mi LED Smart TV 4X Pro 138.8 cm (55)  with AndroidRs39,999,4.48,945
Thomson B9 Pro 102cm (40 inch) Full HD LED Smart TVRs16,499,4.436,950
Sansui Pro View 80cm (32 inch) HD Ready LED Smart TV 2019 Edition  with WCGRs11,499,4.4253
Mi LED Smart TV 4A Pro 123.2 cm (49)  with AndroidRs29,999,4.410,059
Sony Bravia W622G 80cm (32 inch) HD Ready LED Smart TVRs26,999,4.623
Samsung 80cm (32 inch) HD Ready LED TV 2018 EditionRs13,999,4.315,215
Thomson B9 Pro 80cm (32 inch) HD Ready LED Smart TVRs10,999,4.436,950
iFFALCON by TCL AI Powered K31 138.78cm (55 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10Rs33,999,4.2660
MarQ by Flipkart Dolby 40 inch(100.5 cm) Full HD LED TVRs12,999,4.214,702
Blaupunkt 80cm (32 inch) HD Ready LED TVRs8,999,4.31,757
Sony Bravia R202F 80cm (32 inch) HD Ready LED TVRs18,499,4.41,615
Vu Pixelight 126cm (50 inch) Ultra HD (4K) LED Smart TVRs28,999,4.43,820
Sansui Pro View 80cm (32 inch) HD Ready LED TV 2019 Edition  with WCGRs9,999,4.383
MarQ by Flipkart Innoview 61cm (24 inch) Full HD LED TVRs6,999,4.214,702
Sony Bravia W672G 80.1cm (32 inch) Full HD LED Smart TVRs32,999,4.645
